year,month,day,skt
1986,5,28,-0.5400146484374773
1986,5,29,-0.5400146484374773
1986,5,30,-0.44000854492185226
1986,5,31,-0.25000610351560226
1987,5,1,-2.9200195312499773
1987,5,2,-2.1700195312499773
1987,5,3,-3.2399963378906023
1987,5,4,-5.100012207031227
1987,5,5,-5.170019531249977
1987,5,6,-1.6700195312499773
1987,5,7,-4.870001220703102
1987,5,8,-0.06998291015622726
1987,5,9,-0.26999511718747726
1987,5,10,-0.7699951171874773
1987,5,11,-1.5199951171874773
1987,5,12,-1.6399902343749773
1987,5,13,-1.1399902343749773
1987,5,14,-0.7200073242187273
1987,5,15,-0.8199829101562273
1987,5,16,-0.6399902343749773
1987,5,17,-0.6000122070312273
1987,5,18,-0.05002441406247726
1987,5,19,-0.7200073242187273
1987,5,20,-0.26999511718747726
1987,5,21,-0.05002441406247726
1987,5,22,-1.7699951171874773
1987,5,23,-1.6399902343749773
1987,5,24,-1.6399902343749773
1987,5,25,-1.5400146484374773
1987,5,26,-1.4400085449218523
1987,5,27,-1.4400085449218523
1987,5,28,-1.3500122070312273
1987,5,29,-1.2500061035156023
1987,5,30,-1.1399902343749773
1987,5,31,-1.1399902343749773
1988,5,1,-1.5400146484374773
1988,5,2,-1.6399902343749773
1988,5,3,-1.6399902343749773
1988,5,4,-1.6399902343749773
1988,5,5,-1.6399902343749773
1988,5,6,-1.7500061035156023
1988,5,7,-1.7500061035156023
1988,5,8,-1.7500061035156023
1988,5,9,-1.6399902343749773
1988,5,10,-1.6399902343749773
1988,5,11,-1.5400146484374773
1988,5,12,-1.4400085449218523
1988,5,13,-1.3500122070312273
1988,5,14,-1.2500061035156023
1988,5,15,-1.2500061035156023
1988,5,16,-1.1399902343749773
1988,5,17,-1.0400146484374773
1988,5,18,-0.9400085449218523
1988,5,19,-0.9400085449218523
1988,5,20,-0.8500122070312273
1988,5,21,-0.8500122070312273
1988,5,22,-0.7500061035156023
1988,5,23,-0.5400146484374773
1988,5,24,-0.35001220703122726
1988,5,25,-0.13999023437497726
1988,5,26,0.05999145507814774
1988,5,27,0.24999389648439774
1988,5,28,0.36000976562502274
1988,5,29,0.5599914550781477
1988,5,30,0.6499877929687727
1988,5,31,0.6499877929687727
1989,5,1,-1.9400085449218523
1989,5,2,-1.9400085449218523
1989,5,3,-1.9400085449218523
1989,5,4,-1.8500122070312273
1989,5,5,-1.8500122070312273
1989,5,6,-1.7500061035156023
1989,5,7,-1.7500061035156023
1989,5,8,-1.7500061035156023
1989,5,9,-1.7500061035156023
1989,5,10,-1.8500122070312273
1989,5,11,-1.8500122070312273
1989,5,12,-1.8500122070312273
1989,5,13,-1.8500122070312273
1989,5,14,-1.9400085449218523
1989,5,15,-1.8500122070312273
1989,5,16,-1.8500122070312273
1989,5,17,-1.8500122070312273
1989,5,18,-1.8500122070312273
1989,5,19,-1.8500122070312273
1989,5,20,-1.7500061035156023
1989,5,21,-1.7500061035156023
1989,5,22,-1.5400146484374773
1989,5,23,-1.2500061035156023
1989,5,24,-1.0400146484374773
1989,5,25,-0.8500122070312273
